epoch_time,year,month,day,hour,minute,second,gps_week,gps_week_seconds,prn,c1_meters,s1_dBHz
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,5,22407153.336,657.495
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,11,22501927.825,-2651.482
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,12,24364988.587,1261.47
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,13,22870650.407,-2753.839
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,15,21741989.531,-1200.876
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,18,24045157.876,3479.978
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,20,22549457.626,-94.39
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,24,20395488.455,1509.938
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,25,25267645.44,1421.176
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,29,22708588.207,-514.096
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,5,22403405.244,655.64
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,11,22517100.004,-2663.837
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,12,24357762.642,1269.898
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,13,22886366.671,-2752.128
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,15,21748850.806,-1202.821
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,18,24025303.063,3475.994
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,20,22550018.819,-102.331
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,24,20386919.444,1492.006
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,25,25259502.379,1431.184
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,29,22711553.457,-524.703
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,5,22399668.059,653.651
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,11,22532342.089,-2676.011
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,12,24350488.895,1278.431
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,13,22902072.897,-2750.201
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,15,21755723.212,-1204.775
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,18,24005471.502,3471.999
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,20,22550625.672,-110.266
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,24,20378453.004,1473.895
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,25,25251304.392,1440.932
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,29,22714579.878,-535.35
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,5,22395942.039,651.752
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,11,22547653.286,-2688.085
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,12,24343166.229,1286.886
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,13,22917767.532,-2748.293
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,15,21762606.358,-1206.614
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,18,23985663.783,3467.555
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,20,22551279.101,-118.545
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,24,20370089.666,1455.905
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,25,25243049.54,1451.024
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,29,22717665.624,-545.583
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,5,22392227.476,649.569
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,11,22563033.692,-2700.202
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,12,24335796.051,1295.2
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,13,22933451.144,-2746.24
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,15,21769499.431,-1208.377
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,18,23965880.511,3463.193
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,20,22551979.116,-126.601
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,24,20361829.711,1437.81
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,25,25234736.896,1460.793
2024-05-08 00:02:0.000000,2024,5,8,0,2,0.000000,2313,259320.0,29,22720811.128,-556.191
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,5,22388524.444,647.523
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,11,22578482.848,-2712.191
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,12,24328377.929,1303.624
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,13,22949122.688,-2744.029
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,15,21776402.829,-1210.015
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,18,23946122.37,3458.736
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,20,22552724.817,-134.837
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,24,20353673.27,1419.599
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,25,25226368.277,1470.907
2024-05-08 00:02:30.000000,2024,5,8,0,2,30.000000,2313,259350.0,29,22724015.922,-566.525
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,5,22384834.005,645.291
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,11,22594000.241,-2724.084
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,12,24320912.457,1311.83
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,13,22964781.581,-2741.927
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,15,21783315.421,-1211.649
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,18,23926390.427,3454.22
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,20,22553518.602,-143.112
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,24,20345620.88,1401.386
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,25,25217942.381,1481.01
2024-05-08 00:03:0.000000,2024,5,8,0,3,0.000000,2313,259380.0,29,22727280.05,-576.829
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,5,22381156.275,643.101
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,11,22609585.187,-2735.932
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,12,24313399.294,1320.144
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,13,22980428.893,-2739.644
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,15,21790237.064,-1213.246
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,18,23906684.175,3449.452
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,20,22554359.464,-151.417
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,24,20337672.745,1383.099
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,25,25209459.038,1490.705
2024-05-08 00:03:30.000000,2024,5,8,0,3,30.000000,2313,259410.0,29,22730601.594,-587.005
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,5,22377491.579,640.736
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,11,22625237.713,-2747.707
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,12,24305839.06,1328.43
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,13,22996062.7,-2737.295
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,15,21797167.86,-1214.781
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,18,23887004.984,3444.762
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,20,22555247.349,-159.744
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,24,20329829.081,1364.775
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,25,25200920.412,1501.051
2024-05-08 00:04:0.000000,2024,5,8,0,4,0.000000,2313,259440.0,29,22733981.895,-597.115
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,5,22373840.231,638.392
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,11,22640956.942,-2759.416
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,12,24298232.069,1336.615
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,13,23011682.583,-2734.99
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,15,21804106.879,-1216.247
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,18,23867352.784,3439.925
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,20,22556183.653,-168.245
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,24,20322090.384,1346.293
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,25,25192324.29,1510.818
2024-05-08 00:04:30.000000,2024,5,8,0,4,30.000000,2313,259470.0,29,22737419.396,-607.132
2024-05-08 00:05:0.000000,2024,5,8,0,5,0.000000,2313,259500.0,5,22370202.861,635.902
2024-05-08 00:05:0.000000,2024,5,8,0,5,0.000000,2313,259500.0,11,22656743.044,-2770.976
2024-05-08 00:05:0.000000,2024,5,8,0,5,0.000000,2313,259500.0,12,24290577.98,1344.94
2024-05-08 00:05:0.000000,2024,5,8,0,5,0.000000,2313,259500.0,13,23027288.917,-2732.376
2024-05-08 00:05:0.000000,2024,5,8,0,5,0.000000,2313,259500.0,15,21811054.094,-1217.608
2024-05-08 00:05:0.000000,2024,5,8,0,5,0.000000,2313,259500.0,18,23847728.751,3435.06
