epoch_time,year,month,day,hour,minute,second,gps_week,gps_week_seconds,prn,c1_meters,s1_dBHz
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,5,22821992.18,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,7,22592672.314,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,8,22405874.74,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,13,20653803.385,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,14,23284364.192,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,15,21666935.902,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,18,22873949.968,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,20,25008561.422,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,23,23611113.506,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,27,22429884.152,NaN
2024-05-11 00:00:0.000000,2024,5,11,0,0,0.000000,2313,518400.0,30,21369210.351,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,5,22839864.473,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,7,22605758.625,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,8,22399179.941,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,13,20649589.664,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,14,23265775.67,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,15,21653061.734,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,18,22884022.96,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,20,25030681.586,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,23,23592917.266,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,27,22436691.446,NaN
2024-05-11 00:00:30.000000,2024,5,11,0,0,30.000000,2313,518430.0,30,21372015.646,NaN
2024-05-11 00:01:0.000000,2024,5,11,0,1,0.000000,2313,518460.0,5,22857813.135,NaN
