epoch_time,year,month,day,hour,minute,second,gps_week,gps_week_seconds,prn,c1_meters,s1_dBHz
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,5,21010822.872,52.15
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,7,22691561.584,49.5
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,8,24402260.04,41.35
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,9,25222395.959,41.7
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,13,20613036.295,51.7
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,14,21360613.823,50.75
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,15,22841621.682,47.6
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,18,24699430.727,45.95
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,20,21769811.75,50.7
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,22,22301788.139,50.65
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,27,25263357.348,41.0
2024-05-08 00:00:0.000000,2024,5,8,0,0,0.000000,2313,259200.0,30,20768141.435,51.75
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,5,21014555.436,52.3
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,7,22705435.291,49.95
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,8,24401160.989,42.8
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,9,25242137.888,41.65
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,13,20602746.778,52.35
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,14,21349377.144,50.95
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,15,22822406.695,47.55
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,18,24698674.262,45.85
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,20,21784789.849,50.2
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,22,22285097.51,49.05
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,27,25271434.586,41.05
2024-05-08 00:00:30.000000,2024,5,8,0,0,30.000000,2313,259230.0,30,20774551.795,51.85
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,5,21018408.008,52.55
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,7,22719341.033,50.65
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,8,24400170.686,42.7
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,9,25261891.997,40.1
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,13,20592520.757,52.75
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,14,21338232.979,50.9
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,15,22803226.581,48.4
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,18,24698027.057,46.15
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,20,21799848.037,50.55
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,22,22268473.192,50.65
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,27,25279614.895,43.85
2024-05-08 00:01:0.000000,2024,5,8,0,1,0.000000,2313,259260.0,30,20781030.921,52.3
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,5,21022380.426,52.8
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,7,22733278.523,50.55
2024-05-08 00:01:30.000000,2024,5,8,0,1,30.000000,2313,259290.0,8,24399289.275,43.15
